run_idx,repeat,model,backend,width,height,yolo_imgsz,precision,target_fps,output_stream,duration_s,n_frames,fps_mean,fps_p50,fps_p95,fps_min,fps_max,energy_total_j,mean_power_w,energy_per_frame_j,cpu_rail_j,gpu_rail_j,io_rail_j,status,error,run_dir
1,0,ssdlite320,deepstream,640,480,320,fp32,0,none,60.022,901,15.0112,14.7289,15.6584,14.4057,15.984,952.6912,15.8724,1.057371,327.6358,382.6186,242.4368,ok,,results/camera_bench/deepstream_ssdlite320_fps_sweep_MAXN_20260509_193534/deepstream_ssdlite320_640x480_imgsz320_fp32_none_fps0_r0
2,1,ssdlite320,deepstream,640,480,320,fp32,0,none,60.062,901,15.0011,14.7299,15.6606,14.1976,16.0277,956.4139,15.9237,1.061503,332.3325,382.0354,242.046,ok,,results/camera_bench/deepstream_ssdlite320_fps_sweep_MAXN_20260509_193534/deepstream_ssdlite320_640x480_imgsz320_fp32_none_fps0_r1
3,2,ssdlite320,deepstream,640,480,320,fp32,0,none,60.058,901,15.0021,14.7311,15.6556,14.1958,16.1515,938.6046,15.6282,1.041737,316.3178,382.4979,239.789,ok,,results/camera_bench/deepstream_ssdlite320_fps_sweep_MAXN_20260509_193534/deepstream_ssdlite320_640x480_imgsz320_fp32_none_fps0_r2
4,0,ssdlite320,deepstream,640,480,320,fp32,5,none,60.068,302,5.0276,5.0003,5.0059,4.9711,28.6674,908.3942,15.1227,3.007928,309.9288,363.2328,235.2326,ok,,results/camera_bench/deepstream_ssdlite320_fps_sweep_MAXN_20260509_193534/deepstream_ssdlite320_640x480_imgsz320_fp32_none_fps5_r0
5,1,ssdlite320,deepstream,640,480,320,fp32,5,none,60.067,301,5.0111,5.0003,5.008,4.9236,9.7473,927.1899,15.4361,3.080365,322.828,365.1356,239.2263,ok,,results/camera_bench/deepstream_ssdlite320_fps_sweep_MAXN_20260509_193534/deepstream_ssdlite320_640x480_imgsz320_fp32_none_fps5_r1
6,2,ssdlite320,deepstream,640,480,320,fp32,5,none,60.069,302,5.0276,5.0,5.0058,4.9644,27.5323,919.8622,15.3135,3.045901,316.8151,365.0411,238.006,ok,,results/camera_bench/deepstream_ssdlite320_fps_sweep_MAXN_20260509_193534/deepstream_ssdlite320_640x480_imgsz320_fp32_none_fps5_r2
7,0,ssdlite320,deepstream,640,480,320,fp32,10,none,60.067,601,10.0055,10.001,10.023,9.8105,10.2407,925.6067,15.4095,1.540111,315.3163,372.7605,237.5299,ok,,results/camera_bench/deepstream_ssdlite320_fps_sweep_MAXN_20260509_193534/deepstream_ssdlite320_640x480_imgsz320_fp32_none_fps10_r0
8,1,ssdlite320,deepstream,640,480,320,fp32,10,none,60.069,601,10.0051,10.0006,10.031,9.8581,10.3568,962.1201,16.0169,1.600865,341.9808,375.8911,244.2481,ok,,results/camera_bench/deepstream_ssdlite320_fps_sweep_MAXN_20260509_193534/deepstream_ssdlite320_640x480_imgsz320_fp32_none_fps10_r1
9,2,ssdlite320,deepstream,640,480,320,fp32,10,none,60.068,601,10.0054,10.0001,10.4309,9.4834,11.668,960.6059,15.9921,1.598346,338.9549,376.7696,244.8813,ok,,results/camera_bench/deepstream_ssdlite320_fps_sweep_MAXN_20260509_193534/deepstream_ssdlite320_640x480_imgsz320_fp32_none_fps10_r2
10,0,ssdlite320,deepstream,640,480,320,fp32,15,none,60.052,902,15.0203,14.7291,15.7299,7.3235,540.091,995.0559,16.5699,1.103166,359.2517,386.5583,249.2459,ok,,results/camera_bench/deepstream_ssdlite320_fps_sweep_MAXN_20260509_193534/deepstream_ssdlite320_640x480_imgsz320_fp32_none_fps15_r0
