run_idx,repeat,model,backend,width,height,yolo_imgsz,precision,target_fps,output_stream,duration_s,n_frames,fps_mean,fps_p50,fps_p95,fps_min,fps_max,energy_total_j,mean_power_w,energy_per_frame_j,cpu_rail_j,gpu_rail_j,io_rail_j,status,error,run_dir
1,0,yolov8n,deepstream,640,480,640,fp32,0,none,60.06,1802,30.0035,31.1451,31.5301,26.8524,32.6145,961.3042,16.0058,0.533465,214.7864,502.7381,243.7797,ok,,results/camera_bench/deepstream_yolov8n_fps_sweep_MAXN_20260507_101832/deepstream_yolov8n_640x480_imgsz640_fp32_none_fps0_r0
2,1,yolov8n,deepstream,640,480,640,fp32,0,none,60.059,1802,30.004,31.1484,31.5134,27.0712,32.8513,942.3831,15.6911,0.522965,193.8807,505.0354,243.467,ok,,results/camera_bench/deepstream_yolov8n_fps_sweep_MAXN_20260507_101832/deepstream_yolov8n_640x480_imgsz640_fp32_none_fps0_r1
3,2,yolov8n,deepstream,640,480,640,fp32,0,none,60.058,1802,30.0044,31.1532,31.5099,26.7773,32.3044,929.2808,15.4731,0.515694,182.3447,504.836,242.1,ok,,results/camera_bench/deepstream_yolov8n_fps_sweep_MAXN_20260507_101832/deepstream_yolov8n_640x480_imgsz640_fp32_none_fps0_r2
4,0,yolov8n,deepstream,640,480,640,fp32,5,none,60.07,301,5.0108,5.0001,5.0064,4.9001,12.1518,713.3645,11.8756,2.369982,135.9931,368.6474,208.7239,ok,,results/camera_bench/deepstream_yolov8n_fps_sweep_MAXN_20260507_101832/deepstream_yolov8n_640x480_imgsz640_fp32_none_fps5_r0
5,1,yolov8n,deepstream,640,480,640,fp32,5,none,60.07,301,5.0108,4.9997,5.006,4.9644,6.5508,712.137,11.8551,2.365904,135.1749,368.657,208.3051,ok,,results/camera_bench/deepstream_yolov8n_fps_sweep_MAXN_20260507_101832/deepstream_yolov8n_640x480_imgsz640_fp32_none_fps5_r1
6,2,yolov8n,deepstream,640,480,640,fp32,5,none,60.013,301,5.0156,5.0002,5.0058,4.9826,11.0492,704.3118,11.7361,2.339906,130.6798,367.1346,206.4974,ok,,results/camera_bench/deepstream_yolov8n_fps_sweep_MAXN_20260507_101832/deepstream_yolov8n_640x480_imgsz640_fp32_none_fps5_r2
7,0,yolov8n,deepstream,640,480,640,fp32,10,none,60.055,602,10.0242,10.0022,10.0311,9.911,30.7819,741.994,12.3553,1.232548,135.6459,393.439,212.9091,ok,,results/camera_bench/deepstream_yolov8n_fps_sweep_MAXN_20260507_101832/deepstream_yolov8n_640x480_imgsz640_fp32_none_fps10_r0
8,1,yolov8n,deepstream,640,480,640,fp32,10,none,60.067,602,10.0222,10.0014,10.4232,9.5737,104.3216,737.8581,12.284,1.225678,132.4722,393.5886,211.7974,ok,,results/camera_bench/deepstream_yolov8n_fps_sweep_MAXN_20260507_101832/deepstream_yolov8n_640x480_imgsz640_fp32_none_fps10_r1
9,2,yolov8n,deepstream,640,480,640,fp32,10,none,60.029,601,10.0118,10.0012,10.0248,9.9396,12.9693,736.6667,12.2718,1.225735,131.894,393.0297,211.743,ok,,results/camera_bench/deepstream_yolov8n_fps_sweep_MAXN_20260507_101832/deepstream_yolov8n_640x480_imgsz640_fp32_none_fps10_r2
10,0,yolov8n,deepstream,640,480,640,fp32,15,none,60.067,902,15.0167,14.7287,15.6596,13.7268,69.8533,763.4528,12.7101,0.8464,129.7443,418.58,215.1285,ok,,results/camera_bench/deepstream_yolov8n_fps_sweep_MAXN_20260507_101832/deepstream_yolov8n_640x480_imgsz640_fp32_none_fps15_r0
