run_idx,repeat,model,width,height,yolo_imgsz,precision,target_fps,output_stream,duration_s,n_timed,fps_mean,fps_p50,fps_p95,fps_min,fps_max,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_min_ms,latency_max_ms,capture_lat_mean_ms,preprocess_lat_mean_ms,infer_lat_mean_ms,infer_fused_lat_mean_ms,postprocess_lat_mean_ms,filter_lat_mean_ms,annotate_lat_mean_ms,encode_lat_mean_ms,capture_lat_p50_ms,preprocess_lat_p50_ms,infer_lat_p50_ms,infer_fused_lat_p50_ms,postprocess_lat_p50_ms,filter_lat_p50_ms,annotate_lat_p50_ms,encode_lat_p50_ms,capture_lat_p95_ms,preprocess_lat_p95_ms,infer_lat_p95_ms,infer_fused_lat_p95_ms,postprocess_lat_p95_ms,filter_lat_p95_ms,annotate_lat_p95_ms,encode_lat_p95_ms,energy_total_j,mean_power_w,energy_per_frame_j,energy_per_inference_j,cpu_rail_j,gpu_rail_j,io_rail_j,capture_energy_j,preprocess_energy_j,infer_energy_j,infer_fused_energy_j,postprocess_energy_j,filter_energy_j,annotate_energy_j,encode_energy_j,capture_energy_pct,preprocess_energy_pct,infer_energy_pct,infer_fused_energy_pct,postprocess_energy_pct,filter_energy_pct,annotate_energy_pct,encode_energy_pct,idle_j,idle_pct,status,error,run_dir
1,0,ssdlite320_mobilenet_v3_large,640,480,640,fp32,0,none,60.048,775,12.929620566051039,12.64946409143364,14.043430505325876,10.554612037739787,14.402441340548707,77.3392464516129,78.914,80.224,69.295,94.509,0.534767590967742,1.1380949612903224,75.1707190283871,,0.30557265548387097,0.17831471612903227,,,0.530253,1.01753,76.830786,,0.302932,0.177562,,,0.5530385,1.6255556999999992,77.7750794,,0.32469519999999996,0.19397699999999998,,,903.9157,15.0533,1.166343,1.166343,197.7349,474.4629,231.718,7.043699,16.129873,872.676172,,3.820896,2.265303,,,0.78,1.78,96.54,,0.42,0.25,,,1.9798,0.22,ok,,results/camera_bench/ssdlite_fps_sweep_MAXN_20260428_162918/ssdlite320_mobilenet_v3_large_640x480_imgsz640_fp32_none_fps0_r0
2,1,ssdlite320_mobilenet_v3_large,640,480,640,fp32,0,none,60.03,763,12.721741062890104,12.583114783570105,13.477902565558463,11.533105120862443,14.417495965840454,78.54122804718217,79.332,81.3909,69.232,86.551,0.5288736920052425,1.1083171716906945,76.41330346133682,,0.3031746041939712,0.17567321494102225,,,0.524589,1.020795,77.242437,,0.300821,0.17720999999999998,,,0.5478616,1.5444463999999998,79.30281120000001,,0.3229608,0.19272899999999998,,,899.95,14.9917,1.179489,1.179489,191.6767,477.1981,231.0753,6.813016,15.366646,870.03264,,3.702147,2.182011,,,0.76,1.71,96.68,,0.41,0.24,,,1.8536,0.21,ok,,results/camera_bench/ssdlite_fps_sweep_MAXN_20260428_162918/ssdlite320_mobilenet_v3_large_640x480_imgsz640_fp32_none_fps0_r1
3,2,ssdlite320_mobilenet_v3_large,640,480,640,fp32,0,none,60.016,741,12.351858735491813,12.390355959099264,12.491047526095187,10.133270955619535,12.59590807818663,80.86961538461537,80.59,81.566,79.267,98.492,0.5321210053981106,1.119608742240216,78.73810629554654,,0.2996036464237517,0.16788033603238867,,,0.527149,1.031356,78.48370899999999,,0.297429,0.166202,,,0.5568449999999999,1.556713,79.35105399999999,,0.318165,0.182746,,,909.5724,15.1555,1.227493,1.227493,190.3731,487.4953,231.704,6.701871,15.180087,880.38649,,3.580339,2.040089,,,0.74,1.67,96.79,,0.39,0.22,,,1.6835,0.19,ok,,results/camera_bench/ssdlite_fps_sweep_MAXN_20260428_162918/ssdlite320_mobilenet_v3_large_640x480_imgsz640_fp32_none_fps0_r2
4,0,ssdlite320_mobilenet_v3_large,640,480,640,fp32,5,none,60.039,300,4.996759312573037,4.996765393889919,4.996871259030007,4.996227872937071,4.999323316592482,86.66461333333332,86.616,87.37645,85.585,92.82,0.5330293033333333,1.1624127499999999,84.47507043333334,,0.31020771666666663,0.1702006033333333,,,0.528678,1.099356,84.4638815,,0.3085865,0.16852499999999998,,,0.54660665,1.59797645,85.03980094999999,,0.32760845,0.18271600000000005,,,731.6394,12.1861,2.438798,2.438798,141.4416,382.7586,207.4392,2.471542,5.901264,374.913027,,1.034699,0.557732,,,0.34,0.81,51.24,,0.14,0.08,,,346.7611,47.4,ok,,results/camera_bench/ssdlite_fps_sweep_MAXN_20260428_162918/ssdlite320_mobilenet_v3_large_640x480_imgsz640_fp32_none_fps5_r0
5,1,ssdlite320_mobilenet_v3_large,640,480,640,fp32,5,none,60.039,300,4.996736898931174,4.996734658884092,4.9969688337086335,4.99586993930053,4.998385896234458,87.92164666666666,87.172,96.33725,86.055,98.258,0.54209781,1.22010425,85.6545268,,0.31701451666666663,0.17330664999999998,,,0.5337485,1.1306634999999998,84.9558405,,0.31280949999999996,0.170781,,,0.5758942499999999,1.7799171500000004,93.7985583,,0.3427418,0.1963144,,,737.0492,12.2761,2.456831,2.456831,145.6929,382.7189,208.6374,2.482217,6.092661,381.279144,,1.065043,0.571872,,,0.34,0.83,51.73,,0.14,0.08,,,345.5582,46.88,ok,,results/camera_bench/ssdlite_fps_sweep_MAXN_20260428_162918/ssdlite320_mobilenet_v3_large_640x480_imgsz640_fp32_none_fps5_r1
6,2,ssdlite320_mobilenet_v3_large,640,480,640,fp32,5,none,60.042,300,4.996536555002671,4.996555075137895,4.996747185038627,4.995687173306413,4.998945497442042,80.92454000000001,80.765,81.82825,79.272,91.761,0.5354807833333334,1.2451163033333335,78.66265985000001,,0.29762224,0.16884525333333333,,,0.528852,1.128006,78.5651105,,0.296249,0.166876,,,0.5611342,1.7363039500000002,79.27537975,,0.31466975,0.1868264,,,733.8986,12.2232,2.446329,2.446329,144.7629,381.0374,208.0984,2.5112,6.389687,355.25518,,1.005128,0.560179,,,0.34,0.87,48.41,,0.14,0.08,,,368.1773,50.17,ok,,results/camera_bench/ssdlite_fps_sweep_MAXN_20260428_162918/ssdlite320_mobilenet_v3_large_640x480_imgsz640_fp32_none_fps5_r2
7,0,ssdlite320_mobilenet_v3_large,640,480,640,fp32,10,none,60.041,600,9.993240385811681,9.993278021538812,9.993717859010376,9.990219076013629,9.997142616697294,80.64284666666667,80.50450000000001,81.53345,78.977,91.266,0.5327639833333332,1.1475892216666668,78.481976965,,0.30079853500000003,0.16669122,,,0.526019,1.0447585,78.3790855,,0.2986485,0.16493999999999998,,,0.5587027999999999,1.6305103999999997,79.1041515,,0.3214159999999999,0.18203919999999996,,,853.5179,14.2157,1.42253,1.42253,175.5017,453.922,224.0941,4.994829,11.794958,708.956438,,2.029391,1.104296,,,0.59,1.38,83.06,,0.24,0.13,,,124.6379,14.6,ok,,results/camera_bench/ssdlite_fps_sweep_MAXN_20260428_162918/ssdlite320_mobilenet_v3_large_640x480_imgsz640_fp32_none_fps10_r0
8,1,ssdlite320_mobilenet_v3_large,640,480,640,fp32,10,none,60.041,600,9.993123352501259,9.993170966756447,9.993500766750397,9.98092585184158,9.994192774346537,82.17227500000001,82.1155,82.89815,79.38,94.09,0.53345614,1.1047834333333333,80.05196767,,0.307380045,0.16228985166666665,,,0.5282425,1.029413,80.017956,,0.30596,0.16092399999999998,,,0.55331625,1.5292623999999997,80.67822785,,0.32140799999999997,0.17468399999999998,,,852.968,14.2064,1.421613,1.421613,174.2497,454.5901,224.1282,5.045006,11.45838,718.822092,,2.065788,1.070336,,,0.59,1.34,84.27,,0.24,0.13,,,114.5064,13.42,ok,,results/camera_bench/ssdlite_fps_sweep_MAXN_20260428_162918/ssdlite320_mobilenet_v3_large_640x480_imgsz640_fp32_none_fps10_r1
9,2,ssdlite320_mobilenet_v3_large,640,480,640,fp32,10,none,60.041,600,9.993240598065015,9.993233681406656,9.99346463389444,9.991008791458302,9.996565280135398,82.06944333333333,82.157,82.89135,79.736,88.36,0.52375816,1.072099295,79.99675739166666,,0.30271755,0.162237725,,,0.5199705,1.034884,80.10036,,0.30172,0.1614835,,,0.5426473999999999,1.262058799999999,80.74318155,,0.31631675,0.1700216,,,850.0915,14.1586,1.416819,1.416819,172.5417,453.5432,224.0066,4.878148,10.963831,716.862727,,2.021337,1.063162,,,0.57,1.29,84.33,,0.24,0.13,,,114.3023,13.45,ok,,results/camera_bench/ssdlite_fps_sweep_MAXN_20260428_162918/ssdlite320_mobilenet_v3_large_640x480_imgsz640_fp32_none_fps10_r2
10,0,ssdlite320_mobilenet_v3_large,640,480,640,fp32,15,none,60.01,737,12.282919502286687,12.255044786125104,12.55657596904538,11.29735452786333,12.654212458254385,81.30442469470827,81.478,82.36399999999999,78.894,88.352,0.5290247842605156,1.0598598521031208,79.23355234192672,,0.3055358670284939,0.16461267571234736,,,0.524146,1.010276,79.43817899999999,,0.30412,0.163547,,,0.5480873999999999,1.4328047999999995,80.2153208,,0.3215846,0.17635979999999996,,,904.1928,15.0673,1.226856,1.226856,187.7193,485.0824,231.3911,6.605393,14.229137,876.152241,,3.610342,1.978824,,,0.73,1.57,96.9,,0.4,0.22,,,1.6169,0.18,ok,,results/camera_bench/ssdlite_fps_sweep_MAXN_20260428_162918/ssdlite320_mobilenet_v3_large_640x480_imgsz640_fp32_none_fps15_r0
