run_idx,repeat,model,width,height,precision,target_fps,output_stream,duration_s,n_timed,fps_mean,fps_p50,fps_p95,fps_min,fps_max,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_min_ms,latency_max_ms,capture_lat_mean_ms,preprocess_lat_mean_ms,infer_lat_mean_ms,infer_fused_lat_mean_ms,postprocess_lat_mean_ms,filter_lat_mean_ms,annotate_lat_mean_ms,encode_lat_mean_ms,capture_lat_p50_ms,preprocess_lat_p50_ms,infer_lat_p50_ms,infer_fused_lat_p50_ms,postprocess_lat_p50_ms,filter_lat_p50_ms,annotate_lat_p50_ms,encode_lat_p50_ms,capture_lat_p95_ms,preprocess_lat_p95_ms,infer_lat_p95_ms,infer_fused_lat_p95_ms,postprocess_lat_p95_ms,filter_lat_p95_ms,annotate_lat_p95_ms,encode_lat_p95_ms,energy_total_j,mean_power_w,energy_per_frame_j,energy_per_inference_j,cpu_rail_j,gpu_rail_j,io_rail_j,capture_energy_j,preprocess_energy_j,infer_energy_j,infer_fused_energy_j,postprocess_energy_j,filter_energy_j,annotate_energy_j,encode_energy_j,capture_energy_pct,preprocess_energy_pct,infer_energy_pct,infer_fused_energy_pct,postprocess_energy_pct,filter_energy_pct,annotate_energy_pct,encode_energy_pct,idle_j,idle_pct,status,error,run_dir
1,0,yolov8n,640,480,fp32,0,none,60.001,1803,30.16109629340469,31.151442676302736,31.490630802295215,18.451682424403455,39.16023384768604,33.21389794786467,32.04,36.08,25.475,54.109,8.338506595119245,,,24.666989944536883,,0.19760734941763725,,,7.195622999999999,,,24.64109,,0.19524999999999998,,,11.212305,,,24.930921899999998,,0.21265049999999996,,,736.8047,12.2799,0.408655,0.408655,97.7535,400.4364,238.6148,135.779674,,,596.567656,,3.202431,,,18.43,,,80.97,,0.43,,,1.255,0.17,ok,,results/camera_bench/yolov8n_fps_sweep_20260426_164008/yolov8n_640x480_fp32_none_fps0_r0
2,1,yolov8n,640,480,fp32,0,none,60.013,1803,30.15914211179442,31.141078725080153,31.51337614856409,18.284135539419115,39.46975385398464,33.219261785912366,32.048,36.0875,25.273,54.608,8.084877169717137,,,24.882916619523016,,0.24096938990571273,,,7.3101449999999994,,,24.529987,,0.19630599999999998,,,11.3316185,,,26.3742689,,0.4250654,,,734.4397,12.2381,0.407343,0.407343,96.5009,400.3065,237.6324,130.867124,,,598.46811,,3.853909,,,17.82,,,81.49,,0.52,,,1.2506,0.17,ok,,results/camera_bench/yolov8n_fps_sweep_20260426_164008/yolov8n_640x480_fp32_none_fps0_r1
3,2,yolov8n,640,480,fp32,0,none,60.002,1803,30.155704551408437,31.161723220440358,31.47748017584323,25.431921771815542,39.245392728252575,33.212532445923465,32.024,36.0627,25.405,39.249,8.46845757404326,,,24.50890346533555,,0.22507110149750414,,,7.574024,,,24.273211,,0.193876,,,11.606164,,,26.078950799999998,,0.42636009999999996,,,732.6808,12.211,0.406368,0.406368,94.6948,400.3365,237.6495,137.443204,,,590.365507,,3.612184,,,18.76,,,80.58,,0.49,,,1.26,0.17,ok,,results/camera_bench/yolov8n_fps_sweep_20260426_164008/yolov8n_640x480_fp32_none_fps0_r2
4,0,yolov8n,640,480,fp32,5,none,60.06,300,4.9949761410689275,4.994946288168751,4.99528393495448,4.993378829605731,4.9990183927483995,25.313686666666666,25.2375,25.76195,24.916,30.487,0.7332153533333333,,,24.371253673333335,,0.19765033666666668,,,0.728117,,,24.299318999999997,,0.193973,,,0.7553608,,,24.787731549999997,,0.23752840000000006,,,537.9371,8.9566,1.793124,1.793124,70.3504,270.4796,197.1072,2.384445,,,97.533828,,0.520587,,,0.44,,,18.13,,0.1,,,437.4982,81.33,ok,,results/camera_bench/yolov8n_fps_sweep_20260426_164008/yolov8n_640x480_fp32_none_fps5_r0
5,1,yolov8n,640,480,fp32,5,none,60.06,300,4.994981151987138,4.994941423023247,4.995344598592031,4.994002078653485,4.999024090517049,25.956636666666668,25.498,27.647,25.037,43.239,0.74563245,,,24.945457326666666,,0.2532679233333333,,,0.7379754999999999,,,24.5377935,,0.20360499999999998,,,0.7644684,,,26.414730199999997,,0.47321795000000094,,,539.9946,8.9909,1.799982,1.799982,71.9426,270.7327,197.3194,2.397337,,,99.875055,,0.66961,,,0.44,,,18.5,,0.12,,,437.0526,80.94,ok,,results/camera_bench/yolov8n_fps_sweep_20260426_164008/yolov8n_640x480_fp32_none_fps5_r1
6,2,yolov8n,640,480,fp32,5,none,60.06,300,4.9949746477799835,4.994953723127367,4.9953046409239485,4.994358697049129,4.997493007632721,26.112753333333337,26.0345,26.5494,25.643,31.425,0.7420610333333334,,,25.150070969999998,,0.20856022666666665,,,0.737274,,,25.076515,,0.20325349999999998,,,0.7640463999999999,,,25.570251399999997,,0.25844845,,,537.7069,8.9528,1.792356,1.792356,70.1082,270.7787,196.8201,2.410754,,,100.405686,,0.553088,,,0.45,,,18.67,,0.1,,,434.3374,80.78,ok,,results/camera_bench/yolov8n_fps_sweep_20260426_164008/yolov8n_640x480_fp32_none_fps5_r2
7,0,yolov8n,640,480,fp32,10,none,60.061,600,9.989919111012393,9.989918174578214,9.990818597561999,9.981850101778438,9.99366251891363,25.358681666666666,25.304000000000002,25.7003,25.011,30.802,0.7298773283333333,,,24.422336631666667,,0.19561515499999999,,,0.7258994999999999,,,24.3699595,,0.192662,,,0.74961575,,,24.731824,,0.2193169999999999,,,577.4953,9.6152,0.962492,0.962492,75.9824,296.1571,205.3559,4.810301,,,195.902415,,1.03592,,,0.83,,,33.92,,0.18,,,375.7467,65.06,ok,,results/camera_bench/yolov8n_fps_sweep_20260426_164008/yolov8n_640x480_fp32_none_fps10_r0
8,1,yolov8n,640,480,fp32,10,none,60.06,600,9.990023660314815,9.990140031493118,9.99089156392536,9.98766114354665,9.992448806361521,25.467938333333333,25.302500000000002,25.802699999999998,24.956,30.629,0.7349868433333333,,,24.524211871666665,,0.19832067999999997,,,0.727869,,,24.362145499999997,,0.19322299999999998,,,0.7649095999999999,,,24.820342549999996,,0.23853839999999996,,,577.8486,9.6212,0.963081,0.963081,75.7321,296.7212,205.3953,4.865583,,,196.693548,,1.054165,,,0.84,,,34.04,,0.18,,,375.2353,64.94,ok,,results/camera_bench/yolov8n_fps_sweep_20260426_164008/yolov8n_640x480_fp32_none_fps10_r1
9,2,yolov8n,640,480,fp32,10,none,60.06,600,9.99003944500747,9.990164882476499,9.990876381642721,9.987000919603044,9.993882644494477,25.585761666666667,25.493000000000002,26.112399999999997,25.07,31.607,0.73402822,,,24.643282371666665,,0.19783066333333332,,,0.729006,,,24.549608,,0.19336699999999998,,,0.7539003499999999,,,25.13476545,,0.24433779999999997,,,579.2877,9.6452,0.96548,0.96548,76.7461,296.8108,205.7308,4.844067,,,197.743953,,1.052998,,,0.84,,,34.14,,0.18,,,375.6467,64.85,ok,,results/camera_bench/yolov8n_fps_sweep_20260426_164008/yolov8n_640x480_fp32_none_fps10_r2
10,0,yolov8n,640,480,fp32,15,none,60.066,900,14.983448451001822,14.983803931411519,14.98482560885534,14.975699979941547,14.988994705362455,25.864924444444444,25.7965,26.21705,25.372,32.135,0.7302543044444445,,,24.923892406666663,,0.20067675999999998,,,0.7255199999999999,,,24.856938,,0.197175,,,0.750055,,,25.250785949999997,,0.23480599999999993,,,617.7673,10.2848,0.686408,0.686408,81.0099,323.0948,213.6627,7.278385,,,299.04085,,1.59568,,,1.18,,,48.41,,0.26,,,309.8524,50.16,ok,,results/camera_bench/yolov8n_fps_sweep_20260426_164008/yolov8n_640x480_fp32_none_fps15_r0
