run_idx,repeat,model,width,height,precision,target_fps,output_stream,duration_s,n_timed,fps_mean,fps_p50,fps_p95,fps_min,fps_max,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_min_ms,latency_max_ms,capture_lat_mean_ms,preprocess_lat_mean_ms,infer_lat_mean_ms,infer_fused_lat_mean_ms,postprocess_lat_mean_ms,filter_lat_mean_ms,annotate_lat_mean_ms,encode_lat_mean_ms,capture_lat_p50_ms,preprocess_lat_p50_ms,infer_lat_p50_ms,infer_fused_lat_p50_ms,postprocess_lat_p50_ms,filter_lat_p50_ms,annotate_lat_p50_ms,encode_lat_p50_ms,capture_lat_p95_ms,preprocess_lat_p95_ms,infer_lat_p95_ms,infer_fused_lat_p95_ms,postprocess_lat_p95_ms,filter_lat_p95_ms,annotate_lat_p95_ms,encode_lat_p95_ms,energy_total_j,mean_power_w,energy_per_frame_j,energy_per_inference_j,cpu_rail_j,gpu_rail_j,io_rail_j,capture_energy_j,preprocess_energy_j,infer_energy_j,infer_fused_energy_j,postprocess_energy_j,filter_energy_j,annotate_energy_j,encode_energy_j,capture_energy_pct,preprocess_energy_pct,infer_energy_pct,infer_fused_energy_pct,postprocess_energy_pct,filter_energy_pct,annotate_energy_pct,encode_energy_pct,idle_j,idle_pct,status,error,run_dir
1,0,yolov8n,640,480,fp32,0,none,60.027,1804,30.18320863040048,31.163399833431622,31.512852251329594,26.805496263287015,52.39927640791222,33.216012195121955,32.0325,36.123850000000004,19.029,37.233,14.237310506651886,,,18.673690794345898,,0.29649253436807094,,,13.0901785,,,18.6412725,,0.294678,,,17.12436875,,,18.98618375,,0.31837459999999995,,,932.6599,15.5374,0.516996,0.516996,165.159,534.2941,233.2068,279.628193,,,645.633403,,5.993026,,,29.98,,,69.22,,0.64,,,1.4053,0.15,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps0_r0
2,1,yolov8n,640,480,fp32,0,none,60.01,1804,30.19043166742714,31.153189516503122,31.55923116277312,26.358363085555315,51.395379411483844,33.20643680709534,32.039500000000004,36.092850000000006,19.399,37.877,13.990827845898002,,,18.910325084257206,,0.2964892682926829,,,12.851199999999999,,,18.8656315,,0.2936065,,,16.868491499999998,,,19.348040949999998,,0.32154825,,,942.322,15.7028,0.522351,0.522351,171.4398,536.5751,234.3071,278.64584,,,656.202072,,6.03984,,,29.57,,,69.64,,0.64,,,1.4342,0.15,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps0_r1
3,2,yolov8n,640,480,fp32,0,none,60.007,1803,30.16627627319887,31.18296539461497,31.46440702392172,26.181034997577076,50.98965047767359,33.22501663893511,32.014,36.0599,19.55,38.138,13.753548778702163,,,19.159284564059902,,0.3032593255684969,,,12.654447999999999,,,19.062659,,0.299127,,,16.6759003,,,19.589140299999997,,0.32535,,,938.6274,15.642,0.520592,0.520592,167.4193,537.0536,234.1545,272.029973,,,659.106282,,6.106985,,,28.98,,,70.22,,0.65,,,1.3842,0.15,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps0_r2
4,0,yolov8n,640,480,fp32,5,none,60.061,300,4.9949624084586555,4.994960833762859,4.9951838734880125,4.994219540477265,4.998654287286048,20.37680333333333,20.272,20.8445,19.989,24.733,0.5295217333333333,,,19.530285439999997,,0.30562296666666666,,,0.5239039999999999,,,19.4288165,,0.303798,,,0.5558918,,,19.97968605,,0.32438199999999995,,,671.9072,11.1872,2.239691,2.239691,124.3088,347.9491,199.6493,2.445737,,,111.299223,,1.028367,,,0.36,,,16.56,,0.15,,,557.1338,82.92,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps5_r0
5,1,yolov8n,640,480,fp32,5,none,60.06,300,4.994965571206817,4.99491452767194,4.995123418353093,4.994378203035208,4.998881750152491,19.928203333333332,19.859,20.3181,19.582,24.288,0.5350094599999999,,,19.07878448,,0.302894,,,0.531392,,,19.0172345,,0.30010249999999994,,,0.5540518,,,19.428791549999996,,0.3219084,,,664.7089,11.0673,2.215696,2.215696,119.7238,346.7291,198.2559,2.447744,,,108.684779,,1.010623,,,0.37,,,16.35,,0.15,,,552.5657,83.13,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps5_r1
6,2,yolov8n,640,480,fp32,5,none,60.06,300,4.995003073966886,4.994989950155145,4.995143117448951,4.994620593835615,4.998238146044709,19.46215666666667,19.3765,20.005300000000002,19.125,23.567,0.5225246533333333,,,18.639288963333332,,0.2903768833333333,,,0.51728,,,18.560102999999998,,0.28627899999999995,,,0.54309595,,,19.1687624,,0.31274455,,,664.7526,11.0681,2.215842,2.215842,119.5834,347.1671,198.0021,2.437806,,,107.35983,,0.973308,,,0.37,,,16.15,,0.15,,,553.9816,83.34,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps5_r2
7,0,yolov8n,640,480,fp32,10,none,60.061,600,9.989779238858167,9.9898789539354,9.9904158444159,9.987274414686294,9.993796650543075,19.366606666666666,19.3095,19.7681,19.016,23.688,0.526851355,,,18.536941716666668,,0.29385296666666666,,,0.523917,,,18.486493499999998,,0.2869925,,,0.55393075,,,18.906873249999997,,0.3278295499999997,,,719.37,11.9772,1.19895,1.19895,128.6284,385.4119,205.3297,5.077306,,,214.426565,,1.962194,,,0.71,,,29.81,,0.27,,,497.9039,69.21,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps10_r0
8,1,yolov8n,640,480,fp32,10,none,60.06,600,9.98999309090434,9.990141728142667,9.990541933970055,9.986934393341222,9.993207317190286,19.780778333333334,19.743,20.141199999999998,18.299,24.064,0.5214229916666666,,,18.95297188833333,,0.29751219333333334,,,0.517126,,,18.919879,,0.2963,,,0.5442191,,,19.273938299999998,,0.3167884,,,723.4674,12.0457,1.205779,1.205779,130.6455,386.9438,205.8781,5.023975,,,218.58243,,2.000095,,,0.69,,,30.21,,0.28,,,497.8609,68.82,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps10_r1
9,2,yolov8n,640,480,fp32,10,none,60.06,600,9.989975293417938,9.99006328365428,9.990588975081952,9.987839904794312,9.991284702267059,19.59179166666667,19.531,20.0033,19.265,23.976,0.5151452599999999,,,18.772467396666663,,0.29516792166666667,,,0.511968,,,18.71412,,0.29304949999999996,,,0.5365961499999999,,,19.139420849999997,,0.31255555,,,719.8172,11.9849,1.199695,1.199695,128.928,385.5469,205.3424,4.937125,,,215.930044,,1.977942,,,0.69,,,30.0,,0.27,,,496.9721,69.04,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps10_r2
10,0,yolov8n,640,480,fp32,15,none,60.062,900,14.984605688431026,14.984826664216346,14.985671270587108,14.977470364865704,14.995664753319815,20.19829111111111,20.026,22.37125,18.624,25.165,0.51845762,,,19.36582439444444,,0.30458642111111117,,,0.512716,,,19.2042625,,0.300743,,,0.5575426499999999,,,21.49608915,,0.33040959999999997,,,779.7462,12.9824,0.866385,0.866385,140.6778,425.1445,213.9239,7.470978,,,332.231134,,3.080938,,,0.96,,,42.61,,0.4,,,436.9631,56.04,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps15_r0
11,1,yolov8n,640,480,fp32,15,none,60.06,900,14.984991651295836,14.985201439244682,14.9859217380768,14.979574152277438,14.99213849737544,19.591354444444445,19.544,19.95205,19.231,24.029,0.5222461311111112,,,18.76642901888889,,0.2946261633333333,,,0.5176875000000001,,,18.7273945,,0.293381,,,0.53846085,,,19.1066514,,0.31267925,,,776.0999,12.9221,0.862333,0.862333,138.9667,423.999,213.1342,7.504762,,,324.660115,,2.971721,,,0.97,,,41.83,,0.38,,,440.9633,56.82,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_133405/yolov8n_640x480_fp32_none_fps15_r1
