run_idx,repeat,model,width,height,yolo_imgsz,precision,target_fps,output_stream,duration_s,n_timed,fps_mean,fps_p50,fps_p95,fps_min,fps_max,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_min_ms,latency_max_ms,capture_lat_mean_ms,preprocess_lat_mean_ms,infer_lat_mean_ms,infer_fused_lat_mean_ms,postprocess_lat_mean_ms,filter_lat_mean_ms,annotate_lat_mean_ms,encode_lat_mean_ms,capture_lat_p50_ms,preprocess_lat_p50_ms,infer_lat_p50_ms,infer_fused_lat_p50_ms,postprocess_lat_p50_ms,filter_lat_p50_ms,annotate_lat_p50_ms,encode_lat_p50_ms,capture_lat_p95_ms,preprocess_lat_p95_ms,infer_lat_p95_ms,infer_fused_lat_p95_ms,postprocess_lat_p95_ms,filter_lat_p95_ms,annotate_lat_p95_ms,encode_lat_p95_ms,energy_total_j,mean_power_w,energy_per_frame_j,energy_per_inference_j,cpu_rail_j,gpu_rail_j,io_rail_j,capture_energy_j,preprocess_energy_j,infer_energy_j,infer_fused_energy_j,postprocess_energy_j,filter_energy_j,annotate_energy_j,encode_energy_j,capture_energy_pct,preprocess_energy_pct,infer_energy_pct,infer_fused_energy_pct,postprocess_energy_pct,filter_energy_pct,annotate_energy_pct,encode_energy_pct,idle_j,idle_pct,status,error,run_dir
1,0,yolov8n,640,480,320,fp32,0,none,60.029,1804,30.18321903944853,31.174359313919688,31.48610777211909,26.22858563846974,53.71523865331384,33.21978215077605,32.023,36.08655,18.564,38.047,14.749112417405765,,,18.06483353325942,,0.39705588137472286,,,13.5859375,,,18.033859,,0.394129,,,17.62367505,,,18.369936749999997,,0.42074239999999996,,,805.2667,13.4145,0.446378,0.446378,164.7141,420.7027,219.85,285.321512,,,510.435945,,8.158762,,,35.43,,,63.39,,1.01,,,1.3505,0.17,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_150803/yolov8n_640x480_imgsz320_fp32_none_fps0_r0
2,1,yolov8n,640,480,320,fp32,0,none,60.03,1804,30.177558381245365,31.18248213056679,31.44485195656627,26.365354258214314,53.18112752818426,33.22135643015521,32.015,36.06,18.75,37.87,14.853506645232814,,,17.962470764412416,,0.3968253126385809,,,13.692547999999999,,,17.938048000000002,,0.396178,,,17.712935299999998,,,18.21436635,,0.41140519999999997,,,804.1958,13.3966,0.445785,0.445785,163.6285,421.1068,219.4604,287.037643,,,507.715751,,8.128332,,,35.69,,,63.13,,1.01,,,1.3141,0.16,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_150803/yolov8n_640x480_imgsz320_fp32_none_fps0_r1
3,2,yolov8n,640,480,320,fp32,0,none,60.03,1804,30.175605354274953,31.17741799660958,31.430972968313856,26.459364250800586,51.92385408337756,33.22196230598669,32.021,36.0544,19.206,37.738,14.47892846895787,,,18.440733120842573,,0.29376902549889133,,,13.291077999999999,,,18.427691,,0.292726,,,17.30219955,,,18.673946949999998,,0.3049762,,,803.1312,13.3788,0.445195,0.445195,163.1824,420.4557,219.493,278.648969,,,517.331153,,5.872695,,,34.7,,,64.41,,0.73,,,1.2783,0.16,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_150803/yolov8n_640x480_imgsz320_fp32_none_fps0_r2
4,0,yolov8n,640,480,320,fp32,5,none,60.06,300,4.995001208510391,4.995028173732135,4.995244926449614,4.994399355478756,4.997403224349547,19.64145,19.495,20.64455,19.092,24.019,0.5238341433333333,,,18.80213612,,0.3061421233333333,,,0.5164789999999999,,,18.662748999999998,,0.302742,,,0.55985945,,,19.76012995,,0.330221,,,643.5138,10.7145,2.145046,2.145046,119.4719,328.276,195.7658,2.124967,,,87.44808,,1.017541,,,0.33,,,13.59,,0.16,,,552.9232,85.92,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_150803/yolov8n_640x480_imgsz320_fp32_none_fps5_r0
5,1,yolov8n,640,480,320,fp32,5,none,60.06,300,4.9949796977866185,4.994963603173738,4.995249205804329,4.994326470101597,4.998797014504474,18.982106666666667,18.863999999999997,20.04445,17.204,23.502,0.5219396333333333,,,18.152566229999998,,0.2977851766666667,,,0.5157915,,,18.04413,,0.2893025,,,0.5537308,,,19.1612649,,0.401211,,,642.3744,10.6955,2.141248,2.141248,119.2107,327.7716,195.3921,2.116351,,,84.438641,,0.985675,,,0.33,,,13.14,,0.15,,,554.8338,86.37,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_150803/yolov8n_640x480_imgsz320_fp32_none_fps5_r1
6,2,yolov8n,640,480,320,fp32,5,none,60.061,300,4.994962924994885,4.994980768599769,4.99520186384539,4.99336244813176,4.997814131022585,19.838493333333332,19.573500000000003,22.37825,17.733,26.333,0.53591209,,,18.956557780000004,,0.33540692999999994,,,0.526063,,,18.700905,,0.312566,,,0.589989,,,21.29284205,,0.47858885,,,644.8613,10.7369,2.149538,2.149538,121.0875,327.8709,195.9029,2.152232,,,87.793903,,1.124691,,,0.33,,,13.61,,0.17,,,553.7905,85.88,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_150803/yolov8n_640x480_imgsz320_fp32_none_fps5_r2
7,0,yolov8n,640,480,320,fp32,10,none,60.059,600,9.990130084154222,9.990259696601008,9.990676181472494,9.983483125846936,9.997679838439893,19.106851666666667,18.776,21.458,18.449,26.228,0.5165843066666667,,,18.28381913833333,,0.2968693516666666,,,0.506736,,,17.9722375,,0.282231,,,0.5633548,,,20.555432200000002,,0.38957519999999995,,,673.4111,11.2124,1.122352,1.122352,127.3725,345.9668,200.0717,4.214644,,,170.205464,,1.971629,,,0.63,,,25.28,,0.29,,,497.0194,73.81,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_150803/yolov8n_640x480_imgsz320_fp32_none_fps10_r0
8,1,yolov8n,640,480,320,fp32,10,none,60.059,600,9.990240770689754,9.99023763968088,9.99075310841842,9.987467027251512,9.997919333007607,19.332378333333335,19.2335,20.03215,18.855,23.482,0.5106423716666667,,,18.496134684999998,,0.3169145983333333,,,0.5059205,,,18.4012745,,0.2994305,,,0.5402806499999999,,,19.094001749999997,,0.41541579999999995,,,675.4722,11.2469,1.125787,1.125787,128.9681,346.039,200.4651,4.173301,,,172.239468,,2.112138,,,0.62,,,25.5,,0.31,,,496.9473,73.57,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_150803/yolov8n_640x480_imgsz320_fp32_none_fps10_r1
9,2,yolov8n,640,480,320,fp32,10,none,60.059,600,9.990137214942925,9.990340639346035,9.990934096519355,9.979835642286403,9.991377241612943,19.562471666666664,19.485500000000002,20.22615,19.1,23.778,0.5193620633333332,,,18.733617943333332,,0.3009958466666667,,,0.5144164999999999,,,18.6619775,,0.297927,,,0.5439216,,,19.35472725,,0.31932214999999997,,,674.956,11.2382,1.124927,1.124927,128.0915,346.4679,200.3965,4.227924,,,173.616668,,1.990799,,,0.63,,,25.72,,0.29,,,495.1206,73.36,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_150803/yolov8n_640x480_imgsz320_fp32_none_fps10_r2
10,0,yolov8n,640,480,320,fp32,15,none,60.06,900,14.984977231113035,14.985209523274479,14.986159277834247,14.979278415204327,14.992692336864625,19.483169999999998,19.438499999999998,19.925250000000002,19.137,23.621,0.5035134266666667,,,18.672361766666665,,0.2988698144444445,,,0.49915349999999997,,,18.632337,,0.297143,,,0.5276336,,,19.08138325,,0.314239,,,706.0945,11.7565,0.784549,0.784549,136.7571,364.4555,204.882,6.184338,,,259.505749,,2.951315,,,0.88,,,36.75,,0.42,,,437.4531,61.95,ok,,results/camera_bench/yolov8n_fps_sweep_MAXN_20260428_150803/yolov8n_640x480_imgsz320_fp32_none_fps15_r0
